Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:02.900,87
2,00:00:02.900,87,00:00:06.733,202
3,00:00:06.733,202,00:00:12.833,385
4,00:00:12.833,385,00:00:18.900,567
5,00:00:18.900,567,00:00:21.167,635
6,00:00:21.167,635,00:00:23.000,690
7,00:00:23.000,690,00:00:26.467,794
8,00:00:26.467,794,00:00:29.167,875
9,00:00:29.167,875,00:00:33.067,992
10,00:00:33.067,992,00:00:38.633,1159
11,00:00:38.633,1159,00:00:41.333,1240
12,00:00:41.333,1240,00:01:15.067,2252
13,00:01:15.067,2252,00:01:56.133,3484
14,00:01:56.133,3484,00:02:02.500,3675
15,00:02:02.500,3675,00:02:03.167,3695
16,00:02:03.167,3695,00:02:04.900,3747
17,00:02:04.900,3747,00:02:08.567,3857
18,00:02:08.567,3857,00:02:12.267,3968
19,00:02:12.267,3968,00:02:15.267,4058
20,00:02:15.267,4058,00:02:21.467,4244
21,00:02:21.467,4244,00:02:27.033,4411
22,00:02:27.033,4411,00:02:29.433,4483
23,00:02:29.433,4483,00:02:32.033,4561
24,00:02:32.033,4561,00:02:34.433,4633
25,00:02:34.433,4633,00:02:42.033,4861
26,00:02:42.033,4861,00:02:44.633,4939
27,00:02:44.633,4939,00:02:47.167,5015
28,00:02:47.167,5015,00:02:53.833,5215
29,00:02:53.833,5215,00:02:56.400,5292
30,00:02:56.400,5292,00:02:58.533,5356
31,00:02:58.533,5356,00:03:02.100,5463
32,00:03:02.100,5463,00:03:05.167,5555
33,00:03:05.167,5555,00:03:07.367,5621
34,00:03:07.367,5621,00:03:09.733,5692
35,00:03:09.733,5692,00:03:13.400,5802
36,00:03:13.400,5802,00:03:15.200,5856
37,00:03:15.200,5856,00:03:16.967,5909
38,00:03:16.967,5909,00:03:20.500,6015
39,00:03:20.500,6015,00:03:32.633,6379
40,00:03:32.633,6379,00:03:37.633,6529
41,00:03:37.633,6529,00:03:52.400,6972
42,00:03:52.400,6972,00:03:55.233,7057
43,00:03:55.233,7057,00:03:58.467,7154
44,00:03:58.467,7154,00:04:01.300,7239
45,00:04:01.300,7239,00:04:07.167,7415
46,00:04:07.167,7415,00:04:11.267,7538
47,00:04:11.267,7538,00:04:15.967,7679
48,00:04:15.967,7679,00:04:20.067,7802
49,00:04:20.067,7802,00:04:22.800,7884
50,00:04:22.800,7884,00:04:43.700,8511
51,00:04:43.700,8511,00:04:57.600,8928
52,00:04:57.600,8928,00:05:31.233,9937
53,00:05:31.233,9937,00:05:34.333,10030
54,00:05:34.333,10030,00:05:38.200,10146
55,00:05:38.200,10146,00:05:40.000,10200
56,00:05:40.000,10200,00:05:43.267,10298
57,00:05:43.267,10298,00:05:47.067,10412
58,00:05:47.067,10412,00:05:51.700,10551
59,00:05:51.700,10551,00:05:54.533,10636
60,00:05:54.533,10636,00:05:59.233,10777
61,00:05:59.233,10777,00:06:02.667,10880
62,00:06:02.667,10880,00:06:06.900,11007
63,00:06:06.900,11007,00:06:12.833,11185
64,00:06:12.833,11185,00:06:21.200,11436
65,00:06:21.200,11436,00:06:47.867,12236
66,00:06:47.867,12236,00:06:49.367,12281
67,00:06:49.367,12281,00:06:51.933,12358
68,00:06:51.933,12358,00:06:54.867,12446
69,00:06:54.867,12446,00:06:56.767,12503
70,00:06:56.767,12503,00:07:00.267,12608
71,00:07:00.267,12608,00:07:03.233,12697
72,00:07:03.233,12697,00:07:08.500,12855
73,00:07:08.500,12855,00:07:12.367,12971
74,00:07:12.367,12971,00:07:14.033,13021
75,00:07:14.033,13021,00:07:16.600,13098
76,00:07:16.600,13098,00:07:18.867,13166
77,00:07:18.867,13166,00:07:21.900,13257
78,00:07:21.900,13257,00:07:23.733,13312
79,00:07:23.733,13312,00:07:26.733,13402
80,00:07:26.733,13402,00:07:30.533,13516
81,00:07:30.533,13516,00:07:32.067,13562
82,00:07:32.067,13562,00:07:38.300,13749
83,00:07:38.300,13749,00:07:50.833,14125
84,00:07:50.833,14125,00:07:54.367,14231
85,00:07:54.367,14231,00:07:57.867,14336
86,00:07:57.867,14336,00:08:19.633,14989
87,00:08:19.633,14989,00:08:49.167,15875
88,00:08:49.167,15875,00:08:52.867,15986
89,00:08:52.867,15986,00:08:58.500,16155
90,00:08:58.500,16155,00:09:01.633,16249
91,00:09:01.633,16249,00:09:06.267,16388
92,00:09:06.267,16388,00:09:09.133,16474
93,00:09:09.133,16474,00:09:11.967,16559
94,00:09:11.967,16559,00:09:14.100,16623
95,00:09:14.100,16623,00:09:18.100,16743
96,00:09:18.100,16743,00:09:26.133,16984
97,00:09:26.133,16984,00:09:29.267,17078
98,00:09:29.267,17078,00:09:34.467,17234
99,00:09:34.467,17234,00:09:40.033,17401
100,00:09:40.033,17401,00:09:47.500,17625
101,00:09:47.500,17625,00:10:02.900,18087
102,00:10:02.900,18087,00:10:19.033,18571
103,00:10:19.033,18571,00:10:26.200,18786
104,00:10:26.200,18786,00:10:29.833,18895
105,00:10:29.833,18895,00:10:38.400,19152
106,00:10:38.400,19152,00:10:53.000,19590
107,00:10:53.000,19590,00:10:55.200,19656
108,00:10:55.200,19656,00:10:57.967,19739
109,00:10:57.967,19739,00:11:01.000,19830
110,00:11:01.000,19830,00:11:04.767,19943
111,00:11:04.767,19943,00:11:07.900,20037
112,00:11:07.900,20037,00:11:12.467,20174
113,00:11:12.467,20174,00:11:16.067,20282
114,00:11:16.067,20282,00:11:21.700,20451
